account_id,in_deg,out_deg,in_volume,out_volume,egonet_nodes,egonet_edges,pagerank,community
A00944,7,4,3123474.670000001,1719370.68,11,2,1.4214944231784572,null
A00945,6,4,1060998.63,1219282.21,10,2,1.002242065333604,null
A00946,5,3,2674850.57,1669186.64,8,1,1.0218439475232592,null
A00952,12,7,3697159.44,3303121.4499999997,19,2,2.0100061218683285,null
A00953,15,6,4973961.3,2047417.29,20,2,2.141698526797263,null
A00954,7,6,2513418.27,2667252.5399999996,13,1,1.2249459811966608,null
A00958,8,3,2360146.87,945819.26,11,1,1.3624274010872992,null
A00959,2,9,760426.47,2665009.2,11,1,0.31654616398372815,null
A00960,8,5,3351741.13,2750571.5799999996,13,2,1.3642038416112423,null
A00962,6,5,2385815.04,2310814.02,11,1,1.1610891482065042,null
A00967,3,6,1409847.16,1775356.17,9,2,0.6245717273949198,null
A00968,8,7,1493034.7100000002,2435492.89,15,1,1.1590098837612035,null
A00970,6,6,1417207.56,2288561.9499999997,12,2,0.8280619345260096,null
A00971,4,5,1306703.24,2083039.46,9,1,0.8502616682307397,null
A00972,3,5,911097.52,1993544.35,8,1,0.5426560011279387,null
A00973,2,4,675157.68,1622265.26,6,2,0.28848777527904446,null
A00974,3,4,1222379.25,532583.11,7,1,0.46000061453110985,null
A00975,6,5,2321320.24,1960053.7,11,1,1.3382174436241483,null
A00976,7,11,3298112.02,5758977.640000001,18,1,1.4729662265768693,null
A00981,5,3,2542776.3899999997,1413071.13,8,1,0.7767955322018665,null
A00986,6,4,2395250.0,1169666.17,10,1,1.2494449626808966,null
A00989,4,5,1151493.29,1989197.2599999998,9,1,0.5853300451328748,null
A00994,9,8,3992699.31,3651294.61,17,4,1.9954155748876339,null
A00996,3,4,1568648.44,2617376.6599999997,7,1,0.8711897088785241,null
A01002,9,9,3158069.93,3352657.26,18,3,1.3398057313324463,null
A01003,5,10,2129823.48,3936315.1799999997,15,1,0.9059622215147616,null
A01007,9,4,3907099.99,1288815.65,13,1,2.317321222220383,null
A01009,6,6,2515296.84,3203490.9899999998,12,1,1.1061700393229696,null
A01010,6,5,1377533.45,2671532.13,11,1,1.3466690057694493,null
A01011,5,9,1557286.03,3491743.45,14,3,1.088173890323635,null
A01018,4,3,1670375.88,611296.69,7,1,0.5435423404870816,null
A01021,8,5,2879334.1999999997,1992592.1600000001,13,3,1.0923672592117424,null
A01022,4,8,1643981.3900000001,3698346.3099999996,12,1,1.1789727075503997,null
A01024,9,7,3440450.7900000005,2620724.94,16,1,1.3054445353269826,null
A01026,3,7,757433.1799999999,2594885.7199999997,10,1,0.43417138206811,null
A01028,6,5,1320803.04,1631469.1400000001,11,1,0.7906823394410777,null
A01030,9,6,3221271.0600000005,2572175.1399999997,15,2,1.1933950097820514,null
A01032,3,3,1329268.3900000001,811020.07,6,1,0.5192749305935045,null
A01033,7,9,2248430.0799999996,3657415.1100000003,15,1,1.0198882234509477,null
A01037,4,5,2040081.5299999998,2277653.36,9,1,1.1216765091625103,null
A01038,7,10,3046208.58,4212295.97,17,2,0.8673759349976984,null
A01039,8,7,2558159.5599999996,2474917.6,15,1,1.5513355655604337,null
A01040,5,5,1696335.7799999998,1860476.49,10,1,0.9917908819005529,null
A01041,9,1,4027539.74,101510.63,10,1,1.5396237314044914,null
A01042,8,5,2782220.7299999995,2423377.61,13,3,1.471228320798228,null
A01044,2,6,1010055.8600000001,2575864.6100000003,8,1,0.44624790571965484,null
A01047,3,9,974136.06,2182687.0199999996,12,1,0.522080611574196,null
A01048,6,6,2187082.29,2740529.8,12,1,0.9149759010643237,null
A01049,6,4,1467786.9500000002,1186668.6,10,1,1.6319782682434312,null
A01052,5,5,2012358.57,1877408.31,10,1,0.7529340573919658,null
A01054,6,5,2405174.33,2863261.5899999994,11,1,0.9252389142790741,null
A01060,6,11,1813182.18,4000956.79,17,1,1.2682110861149247,null
A01062,5,9,1121398.5,2943337.29,14,2,0.6145273460196544,null
A01065,4,12,2399041.3600000003,5009340.31,16,3,0.7997016285011652,null
A01067,4,6,1629506.5999999999,1320819.85,10,2,0.8639334303663952,null
A01070,11,2,3326068.44,1043118.3900000001,13,1,1.9720991549608549,null
A01071,11,10,5795755.33,2898686.0999999996,19,1,1.4827899878658046,null
A01075,3,6,836346.7,2019838.17,9,1,0.5597660363570951,null
A01077,6,9,2395276.5599999996,3591173.9300000006,15,4,1.1348712062680169,null
A01079,6,4,1502067.9100000001,1380297.96,10,1,0.7859439775955075,null
A01081,6,5,2657348.57,1636387.1,11,1,1.1722290278500507,null
A01085,6,6,2161162.6100000003,2418510.27,12,1,1.0649135220703938,null
A01088,3,9,1051865.83,3089417.7500000005,12,3,0.9183039799660401,null
A01089,6,5,1965305.88,2106735.77,11,1,0.7589775169877389,null
A01090,8,10,3934141.9699999997,3215443.1000000006,18,1,1.5175498242591314,null
A01091,5,4,1636527.0799999998,1459399.23,9,1,1.2546930496354955,null
A01092,3,6,922635.9299999999,1858462.5000000002,9,3,0.32034558146467207,null
A01094,5,7,2569659.62,3059727.78,12,1,0.8642905093046435,null
A01099,6,7,2677255.2499999995,2486445.66,13,1,1.2522301852578552,null
A01101,13,4,4516192.500000001,1200108.3800000001,17,2,2.2161983535080116,null
A01105,2,10,900148.64,4818116.71,11,1,0.3983612082041187,null
A01108,4,3,1876174.5899999999,1050698.03,7,1,0.9052335779063776,null
A01112,5,4,2356179.05,1665371.6800000002,9,1,0.714207750569922,null
A01117,9,10,4411433.2700000005,4240349.869999999,19,2,1.1997926166958306,null
A01119,3,4,1759810.7200000002,1757987.56,7,1,0.5302741441847132,null
A01121,5,5,2107351.1900000004,1459211.21,10,1,0.7031296636915919,null
A01122,6,7,2396721.17,1907300.4300000002,13,2,1.1028400583481457,null
A01125,5,1,2001476.59,337370.87,6,1,0.7781542351189612,null
A01127,4,4,1309816.1400000001,1257452.02,8,1,0.7366353623652454,null
A01129,3,11,1054066.63,4779715.05,14,2,0.6100265993619688,null
A01131,8,6,4292870.71,1627282.2399999998,14,3,1.2291024536417483,null
A01135,6,7,1829843.7300000002,2125642.94,13,1,1.61228451922378,null
A01136,6,6,2229285.3200000003,2553140.14,11,3,1.2699782597084899,null
A01137,5,6,1939156.83,2466592.5599999996,11,1,0.6381482829673474,null
A01139,6,7,3093402.45,1838769.71,13,2,0.6891347633586862,null
A01142,2,8,282241.58,2822820.17,10,1,0.4416125211320131,null
A01143,3,9,933103.06,3391116.81,12,1,0.5989965103016531,null
A01146,2,9,1121834.45,3490086.6099999994,11,1,0.4289050739844521,null
A01147,5,5,2562137.26,1522428.95,10,3,1.0047708804655968,null
A01150,6,11,2585906.97,3660538.0999999996,16,1,0.9844513746088247,null
A01157,7,6,2381780.13,2568910.48,13,1,1.159879665935429,null
A01159,3,5,704973.79,2807677.9699999997,8,1,0.4057706222795578,null
A01164,12,8,5698378.35,3457301.84,20,1,1.8080490139308267,null
A01165,3,2,1371472.23,890625.27,5,1,0.5996845162106317,null
A01168,2,6,483037.63,2099140.7399999998,8,1,0.2942472875183567,null
A01169,3,4,1149437.65,1547070.5900000003,7,1,0.4932377969000249,null
A01173,6,7,2827600.5700000003,1733765.97,13,1,1.0784532463628138,null
A01175,12,9,3569989.5199999996,3603814.46,21,2,2.024746462845907,null
A01176,9,3,3177144.9,1286910.12,12,1,1.5877676749607073,null
A01182,2,12,343923.45,3768426.43,14,3,0.4768004893452057,null
A01183,9,6,2799409.4899999998,2126735.47,15,1,1.1313847796705434,null
A01186,6,5,2348023.9,2527098.63,11,1,1.0801161604977005,null
A01188,9,6,3231216.29,2089632.34,15,1,1.0960417970369,null
A01191,8,6,2859877.3600000003,2749400.45,14,2,1.2689977935228922,null
A01192,5,7,1976969.9100000001,2110625.76,12,1,0.6272897652539171,null
A01195,3,3,1332780.0299999998,518403.41000000003,6,1,0.3324983763464711,null
A01198,7,5,2623773.4599999995,2591913.65,12,1,1.510590886420369,null
A01199,5,9,1404586.8599999999,3331131.08,14,1,0.5979436448725607,null
A01205,6,7,3186885.85,2872563.17,13,1,1.063894472896333,null
A01206,4,9,1863869.15,3014958.09,13,1,0.9945457974694664,null
A01208,8,5,2443716.83,2149915.42,13,1,1.2981489234943668,null
A01210,6,8,2508938.71,2897253.87,14,1,0.8538492483005506,null
A01213,8,4,3106163.9099999997,1497250.7599999998,12,1,1.0248425674989872,null
A01214,4,8,872503.78,3893685.1099999994,12,1,0.694211365161739,null
A01216,8,7,1950523.99,1841498.0499999998,15,2,0.9510336045668962,null
A01220,11,7,4782794.459999999,3520037.26,18,1,1.7969021726661993,null
A01221,7,1,2237155.09,723936.25,8,1,0.9669749011198491,null
A01222,9,5,3548210.1199999996,1438020.49,14,1,1.7008587917586322,null
A01226,5,10,883558.87,4366916.720000001,15,1,0.793673302209346,null
A01228,3,7,1523395.65,2963867.42,10,1,0.5179238886365733,null
A01237,5,5,1985606.71,2309938.55,10,2,1.3445838100249723,null
A01243,10,6,2996548.84,1716882.49,16,3,1.5486239830328523,null
A01244,5,8,2268848.22,2037493.27,13,1,0.9668862804155426,null
A01245,7,7,2559596.58,2413566.45,14,2,1.0735700774392625,null
A01246,7,10,2518255.47,3789902.3299999996,17,1,0.8951749188257601,null
A01247,7,5,3256718.6999999997,1578823.25,12,1,0.980555325645474,null
A01248,4,8,1291743.73,3424839.72,12,1,1.1889126382679571,null
A01251,10,6,3943014.1099999994,3322678.3,16,2,2.036434544576767,null
A01252,8,7,3021664.0999999996,1838427.4800000002,15,1,1.425507355801632,null
A01253,8,10,3817011.1899999995,4302972.76,17,1,1.359839803973071,null
A01254,6,4,1934901.73,1803913.4899999998,10,2,0.884198821007388,null
A01255,8,7,4389536.359999999,3017085.7699999996,15,2,1.833702299337977,null
A01256,6,9,978621.16,2267233.02,15,3,0.9130015511221783,null
A01257,10,5,4126856.100000001,2183789.73,15,1,2.1171707578649954,null
A01259,3,8,993896.62,2915253.5,11,1,0.87744568244168,null
A01260,4,6,684174.3899999999,2076499.02,10,1,0.864467079163757,null
A01261,5,4,2212672.66,2032276.9400000002,9,1,1.1216949472006275,null
A01265,4,9,2064130.6099999999,3902116.23,13,2,1.507856470391183,null
A01266,7,8,1866677.27,2849705.2399999998,15,3,1.0849763778625168,null
A01268,4,7,1988218.6700000002,1955898.2600000002,11,1,0.558154471915008,null
A01270,9,6,3616232.36,2714925.29,15,2,1.2643183310677055,null
A01272,7,8,3280301.0500000003,2040675.62,15,1,1.604366895001148,null
A01276,4,10,2357954.01,3193207.99,14,1,0.6670815022592417,null
A01280,2,6,676159.39,1641488.6900000002,8,2,0.4043763365805512,null
A01281,6,6,2663319.9599999995,2364622.7199999997,12,1,0.8397916162653902,null
A01284,7,9,2477777.16,2951008.9899999998,16,3,0.8760554809549395,null
A01286,9,6,2876847.3599999994,1752795.8599999996,15,1,1.7651833687083816,null
A01289,9,4,3266548.58,2391141.6,13,2,0.9535725627635376,null
A01292,4,6,1251606.9199999997,1846317.04,10,1,0.5963545905597001,null
A01294,8,5,3093152.66,817011.29,13,1,1.5338908876498616,null
A01295,9,7,3252187.38,2038145.5799999996,16,1,2.010025615676306,null
A01298,4,4,1355417.8800000001,768074.0499999999,8,1,0.6703396933701171,null
A01299,5,3,2037937.48,1123657.2999999998,8,1,1.162373399425869,null
A01300,13,5,4929722.609999999,1927185.3899999997,18,2,1.3963675779120586,null
