case_id,fir_number,case_type,case_category,registration_date,incident_date,incident_location_id,police_station,jurisdiction,case_status,investigating_unit,source_document_id,confidence_score,created_at,updated_at
C00269,FIR/2024/5064,Organized Crime,Cybercrime,2024-12-19,2024-11-26,L00303,Dewas Central Police Station,Gwalior,Under Investigation,Crime Branch,DOC02061,0.82,2024-11-23 14:29:23,2024-12-01 08:29:23
C00270,FIR/2025/8778,Cyber,Burglary,2025-02-12,2025-01-29,L01782,Mumbai Central Police Station,Jabalpur,Closed,Cyber Cell,DOC01994,0.9,2026-05-10 17:41:37,2026-05-26 19:41:37
C00271,FIR/2024/1932,Organized Crime,Smuggling,2024-08-25,2024-08-19,L02381,Jaipur Central Police Station,Surat,Closed,Cyber Cell,DOC01592,0.95,2025-05-03 05:05:15,2026-05-24 19:16:49
C00272,FIR/2026/3997,Organized Crime,Money Laundering,2026-05-09,2026-04-25,L00925,Jabalpur Central Police Station,Ujjain,Under Investigation,Crime Branch,DOC01691,0.86,2025-01-10 00:00:34,2025-05-18 13:33:19
C00273,FIR/2025/1013,Economic,Burglary,2025-12-05,2025-12-04,L02031,Kanpur Central Police Station,Gurugram,Pending Trial,Economic Offences Unit,DOC02618,0.93,2025-06-24 09:09:47,2025-06-27 02:09:47
C00274,FIR/2026/6860,Cyber,Cybercrime,2026-02-25,2026-02-01,L00637,Kota Central Police Station,Bhopal,Open,Crime Branch,DOC01407,0.93,2026-01-15 07:03:03,2026-06-11 13:34:05
C00275,FIR/2024/4184,Organized Crime,Cybercrime,2024-12-29,2024-12-26,L01577,Ahmedabad Central Police Station,Bengaluru,Closed,Crime Branch,DOC00662,0.93,2026-06-21 11:39:53,2026-07-15 20:39:53
C00276,FIR/2026/9098,Cyber,Extortion,2026-04-03,2026-03-09,L01172,Surat Central Police Station,Bhopal,Closed,Economic Offences Unit,DOC00706,0.9,2024-02-25 15:03:27,2026-03-24 14:12:21
C00277,FIR/2026/0931,Economic,Fraud,2026-06-05,2026-05-21,L01752,Kota Central Police Station,Indore,Under Investigation,Crime Branch,DOC02353,0.84,2025-11-27 13:54:18,2025-11-28 00:54:18
C00278,FIR/2026/3598,Cyber,Cybercrime,2026-08-19,2026-07-21,L00445,Gurugram Central Police Station,Pune,Open,Local Police,DOC00155,0.89,2026-01-26 04:42:19,2026-02-02 01:42:19
C00279,FIR/2026/8899,Criminal,Assault,2026-04-14,2026-04-07,L00009,Kota Central Police Station,Hyderabad,Closed,Local Police,DOC00007,0.86,2025-10-11 12:51:30,2026-04-30 03:58:55
C00280,FIR/2024/5159,Organized Crime,Illegal Gambling,2024-12-12,2024-12-08,L01048,Lucknow Central Police Station,Kota,Open,Crime Branch,DOC01243,0.97,2025-05-31 07:45:52,2025-06-03 13:45:52
C00281,FIR/2026/8957,Organized Crime,Money Laundering,2026-06-09,2026-05-29,L00025,Pune Central Police Station,Kanpur,Open,Crime Branch,DOC00632,0.87,2026-08-14 05:30:20,2026-08-29 21:54:34
C00282,FIR/2025/8909,Organized Crime,Cybercrime,2025-07-15,2025-07-08,L02280,Jaipur Central Police Station,Jabalpur,Under Investigation,Local Police,DOC01806,0.95,2026-07-23 21:50:31,2026-08-17 02:50:31
C00283,FIR/2026/8409,Cyber,Assault,2026-01-08,2026-01-05,L01802,Bengaluru Central Police Station,Jabalpur,Pending Trial,Crime Branch,DOC00734,0.97,2026-03-18 13:37:01,2026-04-10 15:37:01
C00284,FIR/2026/6600,Criminal,Smuggling,2026-05-05,2026-04-16,L02366,Gurugram Central Police Station,Gwalior,Under Investigation,Crime Branch,DOC02773,0.82,2025-03-08 16:41:40,2025-05-09 04:32:59
C00285,FIR/2024/2929,Criminal,Forgery,2024-05-22,2024-05-20,L01272,Gwalior Central Police Station,Nagpur,Closed,Local Police,DOC00984,0.97,2024-02-12 17:03:30,2026-03-18 18:33:21
C00286,FIR/2025/4838,Economic,Smuggling,2025-02-07,2025-01-18,L02074,Dewas Central Police Station,Kota,Under Investigation,Cyber Cell,DOC00299,0.87,2024-09-25 19:53:19,2025-06-03 20:56:27
C00287,FIR/2025/0616,Organized Crime,Money Laundering,2025-06-09,2025-05-22,L01198,Lucknow Central Police Station,Nagpur,Open,Local Police,DOC00348,0.85,2025-02-22 20:19:37,2026-05-28 16:51:25
C00288,FIR/2024/4347,Criminal,Cybercrime,2024-05-01,2024-04-05,L01107,Hyderabad Central Police Station,Gurugram,Closed,Local Police,DOC01794,0.89,2024-04-10 23:55:38,2024-09-03 02:09:33
C00289,FIR/2025/2335,Criminal,Extortion,2025-08-09,2025-08-07,L00548,Jabalpur Central Police Station,Delhi,Open,Cyber Cell,DOC02510,0.85,2026-05-27 13:26:25,2026-06-08 20:51:14
C00290,FIR/2025/7497,Organized Crime,Extortion,2025-03-02,2025-03-01,L00762,Kota Central Police Station,Kota,Pending Trial,Economic Offences Unit,DOC02842,0.95,2026-07-31 12:32:46,2026-08-28 06:32:46
C00291,FIR/2024/5528,Organized Crime,Cybercrime,2024-12-18,2024-12-10,L00315,Bhopal Central Police Station,Mumbai,Pending Trial,Economic Offences Unit,DOC02654,0.84,2025-06-10 17:40:31,2025-06-27 20:40:31
C00292,FIR/2024/5857,Cyber,Extortion,2024-08-19,2024-08-01,L00659,Delhi Central Police Station,Jabalpur,Under Investigation,Local Police,DOC02777,0.85,2024-08-05 11:18:16,2025-11-19 10:24:28
C00293,FIR/2025/6577,Criminal,Forgery,2025-03-11,2025-02-28,L00548,Hyderabad Central Police Station,Mumbai,Pending Trial,Cyber Cell,DOC01182,0.95,2026-05-02 06:30:15,2026-05-17 02:30:15
C00294,FIR/2025/5461,Organized Crime,Illegal Gambling,2025-11-21,2025-11-18,L01095,Lucknow Central Police Station,Dewas,Open,Local Police,DOC00043,0.9,2025-08-28 00:54:47,2026-06-17 10:22:38
C00295,FIR/2025/8179,Cyber,Forgery,2025-12-01,2025-11-19,L00096,Bengaluru Central Police Station,Gurugram,Open,Cyber Cell,DOC02680,0.97,2025-04-04 03:55:47,2026-02-13 20:53:14
C00296,FIR/2025/2860,Criminal,Cybercrime,2025-11-01,2025-10-20,L01910,Bhopal Central Police Station,Bengaluru,Open,Local Police,DOC02827,0.97,2025-07-08 01:00:36,2025-07-08 05:00:36
C00297,FIR/2024/0832,Cyber,Cybercrime,2024-11-04,2024-10-05,L00327,Gurugram Central Police Station,Kanpur,Open,Economic Offences Unit,DOC00188,0.88,2024-05-29 18:25:07,2024-06-06 19:25:07
C00298,FIR/2025/6726,Organized Crime,Burglary,2025-02-12,2025-02-01,L00101,Jaipur Central Police Station,Lucknow,Pending Trial,Cyber Cell,DOC01662,0.96,2025-05-11 01:14:49,2026-08-08 05:31:42
C00299,FIR/2025/9428,Cyber,Assault,2025-10-12,2025-10-09,L00153,Nagpur Central Police Station,Lucknow,Under Investigation,Cyber Cell,DOC02924,0.96,2026-02-17 01:54:25,2026-03-08 09:54:25
C00300,FIR/2025/2292,Cyber,Assault,2025-08-23,2025-07-25,L00817,Gurugram Central Police Station,Mumbai,Pending Trial,Local Police,DOC02294,0.98,2024-06-01 22:09:14,2026-03-17 05:18:01
C00301,FIR/2026/8107,Organized Crime,Illegal Gambling,2026-03-14,2026-03-04,L00539,Jaipur Central Police Station,Gurugram,Pending Trial,Local Police,DOC02478,0.83,2026-02-15 02:28:40,2026-04-26 04:26:54
C00302,FIR/2024/2336,Cyber,Smuggling,2024-06-04,2024-05-07,L00105,Jabalpur Central Police Station,Surat,Open,Cyber Cell,DOC02634,0.9,2025-12-21 15:24:35,2025-12-22 01:24:35
C00303,FIR/2024/0340,Criminal,Fraud,2025-01-03,2024-12-20,L01238,Indore Central Police Station,Nagpur,Open,Economic Offences Unit,DOC00294,0.88,2025-01-06 18:44:52,2025-01-11 13:44:52
C00304,FIR/2026/9890,Criminal,Extortion,2026-06-04,2026-05-09,L00168,Lucknow Central Police Station,Jabalpur,Pending Trial,Economic Offences Unit,DOC00203,0.9,2026-08-09 05:23:39,2026-08-24 05:23:39
C00305,FIR/2025/7484,Economic,Robbery,2025-09-14,2025-08-19,L02029,Bengaluru Central Police Station,Gurugram,Open,Cyber Cell,DOC00057,0.84,2024-03-20 12:20:06,2025-07-25 23:06:59
C00306,FIR/2025/3854,Economic,Money Laundering,2025-02-28,2025-02-05,L00711,Kanpur Central Police Station,Indore,Pending Trial,Local Police,DOC02041,0.87,2026-07-03 00:20:51,2026-07-17 21:20:51
C00307,FIR/2025/4811,Criminal,Burglary,2026-01-05,2025-12-06,L01982,Ujjain Central Police Station,Jabalpur,Under Investigation,Crime Branch,DOC01134,0.88,2024-08-20 06:53:57,2024-09-13 12:53:57
C00308,FIR/2024/8986,Organized Crime,Illegal Gambling,2024-12-27,2024-12-13,L01796,Jaipur Central Police Station,Bengaluru,Under Investigation,Cyber Cell,DOC02368,0.94,2024-10-28 17:36:44,2024-11-19 12:36:44
C00309,FIR/2026/0636,Organized Crime,Forgery,2026-08-10,2026-08-06,L01035,Lucknow Central Police Station,Mumbai,Open,Economic Offences Unit,DOC00328,0.86,2025-09-12 12:20:52,2026-03-08 23:50:17
C00310,FIR/2026/7906,Economic,Money Laundering,2026-08-05,2026-07-26,L00323,Kanpur Central Police Station,Pune,Open,Cyber Cell,DOC01991,0.9,2026-06-30 04:14:42,2026-07-04 12:14:42
C00311,FIR/2024/2439,Criminal,Money Laundering,2024-08-26,2024-07-31,L02369,Pune Central Police Station,Indore,Pending Trial,Local Police,DOC02340,0.85,2025-03-10 00:31:59,2025-04-01 19:31:59
C00312,FIR/2024/3296,Cyber,Robbery,2024-12-08,2024-11-09,L02326,Ujjain Central Police Station,Surat,Closed,Crime Branch,DOC02099,0.96,2026-06-23 13:19:27,2026-07-19 07:19:27
C00313,FIR/2025/9306,Cyber,Illegal Gambling,2025-12-05,2025-11-22,L00523,Jabalpur Central Police Station,Lucknow,Under Investigation,Local Police,DOC01079,0.81,2026-04-08 18:16:37,2026-04-09 02:16:37
C00314,FIR/2024/4963,Criminal,Vehicle Theft,2024-11-11,2024-10-20,L01719,Lucknow Central Police Station,Bengaluru,Open,Local Police,DOC01668,0.89,2025-08-07 00:27:02,2026-03-22 08:38:57
C00315,FIR/2025/2574,Cyber,Robbery,2025-11-23,2025-11-15,L00178,Dewas Central Police Station,Kanpur,Open,Cyber Cell,DOC02169,0.93,2025-08-25 17:30:41,2026-05-17 23:37:18
C00316,FIR/2025/7136,Organized Crime,Assault,2025-12-28,2025-12-13,L00390,Bhopal Central Police Station,Indore,Open,Local Police,DOC02522,0.8,2025-08-06 21:16:15,2025-08-20 23:16:15
C00317,FIR/2025/8727,Cyber,Money Laundering,2025-05-13,2025-04-17,L01737,Kanpur Central Police Station,Kota,Pending Trial,Crime Branch,DOC00764,0.92,2026-05-07 02:40:50,2026-05-26 02:27:05
C00318,FIR/2026/9251,Economic,Vehicle Theft,2026-07-02,2026-06-12,L02014,Indore Central Police Station,Ahmedabad,Under Investigation,Local Police,DOC00414,0.87,2025-04-22 07:20:54,2026-02-13 04:57:48
C00319,FIR/2024/3927,Cyber,Vehicle Theft,2024-04-01,2024-03-05,L00685,Pune Central Police Station,Ujjain,Open,Crime Branch,DOC00978,0.93,2024-05-16 01:27:36,2026-01-29 08:42:41
C00320,FIR/2025/4040,Cyber,Robbery,2025-04-19,2025-04-10,L02172,Dewas Central Police Station,Indore,Pending Trial,Cyber Cell,DOC00578,0.95,2026-07-21 17:30:57,2026-08-09 13:30:57
C00321,FIR/2024/7858,Criminal,Illegal Gambling,2024-08-28,2024-08-14,L01541,Surat Central Police Station,Hyderabad,Open,Cyber Cell,DOC01551,0.89,2024-08-30 15:56:18,2024-10-08 05:34:42
C00322,FIR/2025/8457,Cyber,Burglary,2025-10-31,2025-10-19,L02008,Indore Central Police Station,Hyderabad,Closed,Crime Branch,DOC02313,0.89,2024-04-21 01:13:33,2024-08-26 05:23:00
C00323,FIR/2025/2989,Economic,Cybercrime,2025-07-07,2025-06-19,L02215,Lucknow Central Police Station,Ahmedabad,Under Investigation,Local Police,DOC00794,0.83,2025-04-24 11:20:33,2025-05-23 16:20:33
C00324,FIR/2025/9663,Economic,Assault,2025-10-30,2025-10-21,L01598,Ahmedabad Central Police Station,Indore,Open,Cyber Cell,DOC01886,0.9,2025-01-31 06:25:53,2025-02-15 10:25:53
C00325,FIR/2025/5743,Cyber,Cybercrime,2025-10-04,2025-10-03,L00062,Dewas Central Police Station,Mumbai,Pending Trial,Crime Branch,DOC01106,0.89,2026-02-16 17:02:44,2026-03-01 04:02:44
C00326,FIR/2024/5366,Cyber,Cybercrime,2024-06-18,2024-06-04,L00830,Ujjain Central Police Station,Surat,Under Investigation,Economic Offences Unit,DOC01291,0.89,2024-10-19 15:42:03,2024-12-31 01:19:21
C00327,FIR/2024/2432,Criminal,Illegal Gambling,2024-11-10,2024-11-03,L00443,Indore Central Police Station,Gurugram,Under Investigation,Cyber Cell,DOC02262,0.8,2024-09-03 11:39:45,2025-09-26 22:03:41
C00328,FIR/2025/6213,Economic,Robbery,2025-06-19,2025-05-30,L01285,Pune Central Police Station,Gwalior,Open,Cyber Cell,DOC01508,0.96,2025-06-03 01:47:42,2025-06-11 23:47:42
C00329,FIR/2026/5624,Criminal,Robbery,2026-02-02,2026-01-27,L01428,Bhopal Central Police Station,Indore,Pending Trial,Economic Offences Unit,DOC00492,0.96,2024-12-24 22:02:03,2024-12-28 03:02:03
C00330,FIR/2025/1453,Criminal,Fraud,2025-01-17,2025-01-11,L02108,Mumbai Central Police Station,Lucknow,Under Investigation,Cyber Cell,DOC00723,0.95,2025-08-15 15:39:12,2026-05-27 12:57:55
C00331,FIR/2026/5340,Economic,Smuggling,2026-03-26,2026-03-17,L01805,Pune Central Police Station,Ujjain,Under Investigation,Cyber Cell,DOC00295,0.87,2025-11-01 03:48:19,2026-04-11 13:33:54
C00332,FIR/2024/3943,Organized Crime,Burglary,2024-03-13,2024-03-08,L02429,Nagpur Central Police Station,Surat,Open,Crime Branch,DOC00074,0.82,2024-10-19 06:37:29,2025-03-13 14:02:38
C00333,FIR/2024/4565,Criminal,Illegal Gambling,2024-10-11,2024-09-12,L00292,Nagpur Central Police Station,Delhi,Closed,Crime Branch,DOC01577,0.82,2024-03-18 22:00:02,2026-01-04 11:22:21
C00334,FIR/2024/7318,Cyber,Vehicle Theft,2024-09-09,2024-08-11,L00733,Mumbai Central Police Station,Jabalpur,Closed,Economic Offences Unit,DOC02360,0.9,2026-08-07 06:10:34,2026-08-30 16:10:34
C00335,FIR/2024/3404,Criminal,Robbery,2024-03-22,2024-02-26,L01406,Indore Central Police Station,Surat,Open,Crime Branch,DOC01601,0.85,2025-09-29 07:41:08,2025-10-14 17:41:08
C00336,FIR/2025/2285,Criminal,Assault,2025-04-03,2025-03-22,L00214,Indore Central Police Station,Mumbai,Open,Crime Branch,DOC02295,0.9,2026-04-15 03:31:40,2026-05-04 04:31:40
C00337,FIR/2025/0192,Criminal,Illegal Gambling,2025-12-31,2025-12-24,L00274,Ahmedabad Central Police Station,Surat,Open,Economic Offences Unit,DOC01246,0.93,2024-11-06 09:31:48,2026-05-07 12:57:22
C00338,FIR/2025/8801,Economic,Smuggling,2025-07-28,2025-07-24,L01402,Surat Central Police Station,Vadodara,Closed,Local Police,DOC02700,0.92,2024-10-07 00:23:45,2024-10-24 09:23:45
C00339,FIR/2024/4614,Cyber,Fraud,2024-02-14,2024-01-31,L00653,Surat Central Police Station,Lucknow,Closed,Economic Offences Unit,DOC02041,0.9,2024-08-19 13:21:04,2024-08-29 14:21:04
C00340,FIR/2025/1627,Economic,Vehicle Theft,2025-11-26,2025-11-25,L00732,Pune Central Police Station,Bengaluru,Under Investigation,Crime Branch,DOC00705,0.93,2026-04-30 23:00:24,2026-05-13 08:00:24
C00341,FIR/2024/3044,Criminal,Extortion,2024-05-31,2024-05-12,L02302,Gwalior Central Police Station,Kota,Open,Crime Branch,DOC01250,0.88,2024-06-14 07:39:33,2024-06-20 16:39:33
C00342,FIR/2026/4399,Organized Crime,Smuggling,2026-07-09,2026-06-09,L00119,Kota Central Police Station,Kanpur,Closed,Crime Branch,DOC01419,0.81,2026-01-13 20:04:03,2026-02-07 20:04:03
C00343,FIR/2026/1416,Cyber,Fraud,2026-06-14,2026-05-16,L02427,Ahmedabad Central Police Station,Jaipur,Under Investigation,Local Police,DOC01591,0.86,2025-10-02 23:20:11,2025-10-08 18:20:11
C00344,FIR/2024/4935,Cyber,Vehicle Theft,2024-10-15,2024-09-25,L00954,Mumbai Central Police Station,Jaipur,Under Investigation,Crime Branch,DOC02071,0.94,2025-07-08 14:15:56,2025-08-01 06:15:56
C00345,FIR/2026/3423,Organized Crime,Money Laundering,2026-05-02,2026-04-08,L01332,Bengaluru Central Police Station,Delhi,Under Investigation,Local Police,DOC02054,0.93,2026-06-02 02:01:09,2026-06-18 16:01:09
C00346,FIR/2024/6649,Cyber,Vehicle Theft,2024-03-15,2024-02-21,L00310,Jabalpur Central Police Station,Delhi,Under Investigation,Crime Branch,DOC00508,0.97,2024-08-28 08:07:52,2025-11-25 07:18:57
C00347,FIR/2026/3639,Organized Crime,Money Laundering,2026-04-14,2026-03-29,L02418,Delhi Central Police Station,Delhi,Closed,Local Police,DOC01822,0.97,2026-05-14 00:40:38,2026-05-29 06:40:38
C00348,FIR/2025/6404,Criminal,Burglary,2025-06-23,2025-06-19,L01508,Lucknow Central Police Station,Surat,Open,Crime Branch,DOC00856,0.89,2024-10-17 16:11:12,2026-01-29 13:55:25
C00349,FIR/2026/4106,Criminal,Forgery,2026-06-22,2026-05-27,L01019,Ujjain Central Police Station,Jaipur,Under Investigation,Economic Offences Unit,DOC00137,0.85,2025-10-27 00:09:41,2025-11-01 04:09:41
C00350,FIR/2026/0549,Criminal,Assault,2026-07-07,2026-06-08,L00865,Bengaluru Central Police Station,Delhi,Closed,Cyber Cell,DOC00882,0.94,2025-04-05 03:33:21,2025-04-24 01:33:21
C00351,FIR/2025/6554,Criminal,Robbery,2025-05-29,2025-05-17,L01690,Vadodara Central Police Station,Gwalior,Pending Trial,Economic Offences Unit,DOC02908,0.86,2025-03-12 18:30:11,2025-04-06 17:30:11
C00352,FIR/2024/2100,Criminal,Robbery,2024-09-24,2024-09-22,L00826,Jaipur Central Police Station,Hyderabad,Under Investigation,Economic Offences Unit,DOC01398,0.86,2025-03-25 19:44:45,2025-04-15 23:44:45
C00353,FIR/2026/8464,Organized Crime,Vehicle Theft,2026-06-10,2026-05-11,L01070,Delhi Central Police Station,Jabalpur,Under Investigation,Local Police,DOC02728,0.93,2024-02-16 05:39:43,2025-09-06 00:09:27
C00354,FIR/2025/6014,Cyber,Cybercrime,2025-03-09,2025-02-17,L00579,Jabalpur Central Police Station,Dewas,Pending Trial,Crime Branch,DOC00299,0.94,2024-08-06 19:21:59,2026-02-08 14:47:39
C00355,FIR/2026/6082,Cyber,Forgery,2026-05-24,2026-05-07,L02291,Mumbai Central Police Station,Kanpur,Pending Trial,Crime Branch,DOC02713,0.91,2026-07-10 22:25:17,2026-07-29 00:25:17
C00356,FIR/2024/6470,Economic,Smuggling,2024-07-10,2024-07-03,L01861,Gurugram Central Police Station,Bengaluru,Closed,Crime Branch,DOC02170,0.91,2024-02-09 09:55:39,2026-07-19 02:07:26
C00357,FIR/2026/8755,Economic,Smuggling,2026-06-03,2026-05-24,L02491,Jabalpur Central Police Station,Jaipur,Open,Economic Offences Unit,DOC02788,0.81,2024-01-05 01:34:06,2024-08-29 12:00:55
C00358,FIR/2024/3389,Organized Crime,Burglary,2024-09-13,2024-08-15,L02433,Hyderabad Central Police Station,Ahmedabad,Pending Trial,Local Police,DOC00707,0.97,2024-12-15 00:01:55,2025-10-13 23:24:07
C00359,FIR/2025/9228,Economic,Money Laundering,2025-09-23,2025-08-28,L01308,Bhopal Central Police Station,Jabalpur,Under Investigation,Cyber Cell,DOC01754,0.93,2025-08-31 05:10:24,2025-09-11 01:10:24
C00360,FIR/2026/7280,Economic,Illegal Gambling,2026-05-02,2026-04-25,L01926,Bengaluru Central Police Station,Gurugram,Under Investigation,Local Police,DOC01420,0.93,2024-10-14 19:45:41,2026-06-15 14:17:47
C00361,FIR/2024/3172,Organized Crime,Burglary,2024-07-20,2024-06-29,L00734,Surat Central Police Station,Ahmedabad,Pending Trial,Cyber Cell,DOC00204,0.88,2025-03-01 17:46:13,2025-03-22 16:46:13
C00362,FIR/2024/2522,Cyber,Robbery,2024-12-07,2024-12-02,L01044,Hyderabad Central Police Station,Surat,Pending Trial,Local Police,DOC02192,0.86,2025-09-12 18:53:31,2025-10-02 10:53:31
C00363,FIR/2025/1688,Economic,Robbery,2026-01-02,2025-12-25,L02499,Ujjain Central Police Station,Mumbai,Closed,Cyber Cell,DOC01523,0.82,2026-07-07 14:29:28,2026-08-04 14:29:28
C00364,FIR/2026/1465,Criminal,Money Laundering,2026-03-05,2026-03-05,L01395,Ahmedabad Central Police Station,Pune,Open,Crime Branch,DOC00182,0.86,2025-07-25 05:26:30,2025-07-27 07:26:30
C00365,FIR/2026/9584,Economic,Burglary,2026-05-27,2026-05-17,L01992,Jabalpur Central Police Station,Indore,Open,Cyber Cell,DOC02842,0.84,2024-09-25 20:30:09,2026-05-12 16:49:07
C00366,FIR/2026/7642,Cyber,Money Laundering,2026-08-24,2026-08-08,L01920,Bengaluru Central Police Station,Vadodara,Under Investigation,Local Police,DOC02807,0.95,2024-10-24 08:37:27,2025-02-17 00:26:35
C00367,FIR/2024/0728,Economic,Cybercrime,2024-02-28,2024-02-05,L00755,Indore Central Police Station,Ahmedabad,Open,Crime Branch,DOC01233,0.9,2025-04-29 05:39:44,2025-05-03 12:39:44
C00368,FIR/2025/3016,Organized Crime,Burglary,2025-11-06,2025-10-23,L00689,Ujjain Central Police Station,Gurugram,Pending Trial,Cyber Cell,DOC00127,0.91,2026-08-23 18:19:42,2026-08-28 16:19:42
C00369,FIR/2026/6017,Organized Crime,Cybercrime,2026-06-11,2026-05-18,L00677,Gwalior Central Police Station,Lucknow,Under Investigation,Cyber Cell,DOC02589,0.98,2025-05-29 14:29:03,2026-01-31 14:55:30
C00370,FIR/2024/3206,Organized Crime,Assault,2024-05-18,2024-04-28,L02417,Mumbai Central Police Station,Hyderabad,Pending Trial,Economic Offences Unit,DOC00446,0.96,2026-05-22 19:43:58,2026-06-01 04:43:58
C00371,FIR/2026/9137,Economic,Forgery,2026-01-25,2026-01-25,L01804,Kota Central Police Station,Jabalpur,Under Investigation,Economic Offences Unit,DOC01788,0.88,2024-04-07 14:56:44,2025-01-05 02:37:02
C00372,FIR/2024/5714,Economic,Illegal Gambling,2024-08-06,2024-08-04,L00494,Pune Central Police Station,Dewas,Closed,Cyber Cell,DOC00504,0.9,2024-11-04 16:42:44,2026-02-09 12:26:08
C00373,FIR/2024/7238,Criminal,Money Laundering,2024-04-18,2024-03-19,L00974,Jaipur Central Police Station,Jabalpur,Pending Trial,Crime Branch,DOC01751,0.94,2025-05-26 12:55:27,2026-07-07 03:04:22
C00374,FIR/2025/3441,Economic,Robbery,2025-03-09,2025-02-17,L00477,Bhopal Central Police Station,Nagpur,Open,Crime Branch,DOC01826,0.81,2025-12-04 10:08:57,2026-04-27 15:22:02
C00375,FIR/2025/8354,Organized Crime,Extortion,2025-11-13,2025-11-03,L01262,Hyderabad Central Police Station,Bengaluru,Pending Trial,Cyber Cell,DOC01874,0.98,2024-12-30 10:23:20,2026-01-07 08:12:08
C00376,FIR/2024/6953,Economic,Robbery,2024-12-08,2024-11-19,L01744,Dewas Central Police Station,Lucknow,Pending Trial,Crime Branch,DOC00018,0.95,2024-08-10 18:08:49,2025-02-18 18:04:38
C00377,FIR/2025/6166,Criminal,Illegal Gambling,2025-08-02,2025-07-03,L00764,Ujjain Central Police Station,Bhopal,Closed,Local Police,DOC02990,0.82,2025-10-08 03:33:33,2025-10-26 20:33:33
C00378,FIR/2025/5435,Economic,Money Laundering,2025-03-09,2025-03-06,L02265,Mumbai Central Police Station,Mumbai,Under Investigation,Local Police,DOC01943,0.81,2024-06-14 13:43:57,2024-10-15 08:16:35
C00379,FIR/2024/6619,Organized Crime,Burglary,2024-12-13,2024-12-09,L01444,Delhi Central Police Station,Gurugram,Open,Economic Offences Unit,DOC02152,0.89,2026-08-07 21:32:52,2026-08-24 01:46:42
C00380,FIR/2026/4713,Economic,Burglary,2026-08-29,2026-07-30,L01368,Bengaluru Central Police Station,Hyderabad,Open,Economic Offences Unit,DOC02658,0.94,2025-05-04 12:11:49,2025-05-19 02:11:49
C00381,FIR/2025/6726,Economic,Burglary,2025-11-14,2025-11-07,L01629,Kota Central Police Station,Kota,Under Investigation,Crime Branch,DOC02322,0.96,2026-03-14 22:50:49,2026-03-22 15:50:49
C00382,FIR/2024/0554,Organized Crime,Assault,2024-06-12,2024-05-30,L00911,Bengaluru Central Police Station,Pune,Under Investigation,Crime Branch,DOC01326,0.96,2025-07-15 01:21:03,2025-08-26 14:26:16
C00383,FIR/2024/1444,Organized Crime,Money Laundering,2024-11-03,2024-10-15,L01168,Ujjain Central Police Station,Lucknow,Closed,Crime Branch,DOC02592,0.87,2024-06-14 11:03:23,2026-08-21 10:55:27
C00384,FIR/2024/9227,Cyber,Forgery,2024-11-15,2024-10-31,L02416,Bhopal Central Police Station,Jaipur,Open,Economic Offences Unit,DOC02439,0.8,2025-06-16 16:23:40,2025-06-28 04:23:40
C00385,FIR/2024/3260,Criminal,Cybercrime,2024-11-05,2024-10-30,L02247,Pune Central Police Station,Bhopal,Pending Trial,Cyber Cell,DOC02036,0.87,2024-06-12 14:08:29,2024-07-12 14:08:29
C00386,FIR/2025/7739,Organized Crime,Forgery,2025-12-26,2025-12-02,L02361,Vadodara Central Police Station,Surat,Open,Crime Branch,DOC01754,0.95,2026-04-01 21:28:22,2026-04-24 04:28:22
C00387,FIR/2025/6530,Organized Crime,Assault,2025-06-05,2025-05-17,L02469,Bengaluru Central Police Station,Kanpur,Pending Trial,Crime Branch,DOC01742,0.83,2025-05-08 19:16:38,2026-02-16 04:32:23
C00388,FIR/2024/7126,Economic,Forgery,2024-04-05,2024-03-22,L00046,Ahmedabad Central Police Station,Gurugram,Under Investigation,Local Police,DOC01186,0.8,2026-02-24 15:51:05,2026-02-27 16:51:05
C00389,FIR/2024/6073,Criminal,Illegal Gambling,2024-06-01,2024-05-23,L01944,Pune Central Police Station,Gwalior,Open,Crime Branch,DOC00963,0.94,2025-08-18 11:21:13,2025-09-13 02:21:13
C00390,FIR/2024/7704,Cyber,Burglary,2024-07-11,2024-07-04,L00995,Pune Central Police Station,Delhi,Open,Crime Branch,DOC01332,0.92,2024-12-16 01:36:31,2025-02-16 19:32:19
C00391,FIR/2024/3036,Organized Crime,Robbery,2024-04-11,2024-03-30,L00815,Ahmedabad Central Police Station,Indore,Pending Trial,Cyber Cell,DOC01240,0.93,2024-07-11 14:49:38,2026-03-05 19:26:25
C00392,FIR/2025/5200,Economic,Extortion,2025-04-09,2025-03-28,L01181,Nagpur Central Police Station,Vadodara,Open,Crime Branch,DOC02323,0.83,2024-03-15 17:47:43,2024-04-12 08:47:43
C00393,FIR/2025/0675,Criminal,Money Laundering,2025-06-03,2025-05-10,L02010,Mumbai Central Police Station,Gurugram,Pending Trial,Crime Branch,DOC02563,0.85,2025-11-18 20:16:52,2025-11-27 17:16:52
C00394,FIR/2025/4986,Economic,Burglary,2025-11-24,2025-11-03,L01912,Gurugram Central Police Station,Kota,Under Investigation,Local Police,DOC02186,0.9,2024-10-12 09:08:12,2025-01-22 06:38:32
C00395,FIR/2024/7961,Criminal,Cybercrime,2024-06-19,2024-06-01,L01534,Dewas Central Police Station,Bengaluru,Closed,Cyber Cell,DOC01790,0.9,2024-04-05 04:12:36,2026-05-01 03:11:15
